DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Sat 1/20,0,0,0,2017-18,Evgeni Malkin,N
Thu 1/18,1,1,0,2017-18,Evgeni Malkin,N
Wed 1/17,1,0,1,2017-18,Evgeni Malkin,N
Sun 1/14,0,0,1,2017-18,Evgeni Malkin,N
Sat 1/13,2,2,2,2017-18,Evgeni Malkin,N
Sun 1/7,2,1,0,2017-18,Evgeni Malkin,N
Fri 1/5,1,0,1,2017-18,Evgeni Malkin,N
Thu 1/4,0,0,1,2017-18,Evgeni Malkin,N
Tue 1/2,0,2,2,2017-18,Evgeni Malkin,N
Sun 12/31,1,0,2,2017-18,Evgeni Malkin,N
Fri 12/29,0,0,2,2017-18,Evgeni Malkin,N
Wed 12/27,1,2,0,2017-18,Evgeni Malkin,N
Sat 12/23,0,0,0,2017-18,Evgeni Malkin,N
Thu 12/21,1,0,1,2017-18,Evgeni Malkin,N
Mon 12/18,1,0,1,2017-18,Evgeni Malkin,N
Sat 12/16,1,1,0,2017-18,Evgeni Malkin,N
Thu 12/14,0,0,2,2017-18,Evgeni Malkin,N
Mon 12/11,0,1,1,2017-18,Evgeni Malkin,N
Sat 12/9,1,0,0,2017-18,Evgeni Malkin,N
Thu 12/7,0,1,0,2017-18,Evgeni Malkin,N
Tue 12/5,0,1,3,2017-18,Evgeni Malkin,N
Sat 12/2,1,1,1,2017-18,Evgeni Malkin,N
Fri 12/1,0,1,0,2017-18,Evgeni Malkin,N
Sat 11/18,0,0,0,2017-18,Evgeni Malkin,N
Thu 11/16,0,0,1,2017-18,Evgeni Malkin,N
Tue 11/14,0,1,1,2017-18,Evgeni Malkin,N
Sat 11/11,0,1,1,2017-18,Evgeni Malkin,N
Fri 11/10,0,1,2,2017-18,Evgeni Malkin,N
Tue 11/7,1,2,0,2017-18,Evgeni Malkin,N
Sat 11/4,0,0,1,2017-18,Evgeni Malkin,N
Thu 11/2,0,1,1,2017-18,Evgeni Malkin,N
Wed 11/1,1,0,0,2017-18,Evgeni Malkin,N
Sun 10/29,1,0,0,2017-18,Evgeni Malkin,N
Sat 10/28,1,0,1,2017-18,Evgeni Malkin,N
Thu 10/26,0,0,0,2017-18,Evgeni Malkin,N
Tue 10/24,0,1,0,2017-18,Evgeni Malkin,N
Sat 10/21,0,0,0,2017-18,Evgeni Malkin,N
Fri 10/20,1,1,1,2017-18,Evgeni Malkin,N
Tue 10/17,1,3,0,2017-18,Evgeni Malkin,N
Sat 10/14,0,0,1,2017-18,Evgeni Malkin,N
Thu 10/12,0,0,0,2017-18,Evgeni Malkin,N
Wed 10/11,0,0,2,2017-18,Evgeni Malkin,N
Sat 10/7,1,0,0,2017-18,Evgeni Malkin,N
Thu 10/5,0,1,2,2017-18,Evgeni Malkin,N
Wed 10/4,0,2,0,2017-18,Evgeni Malkin,N
Sun 6/11,0,0,1,2016-17,Evgeni Malkin,Y
Thu 6/8,1,1,0,2016-17,Evgeni Malkin,Y
Mon 6/5,0,0,1,2016-17,Evgeni Malkin,Y
Sat 6/3,0,0,0,2016-17,Evgeni Malkin,Y
Wed 5/31,1,0,1,2016-17,Evgeni Malkin,Y
Mon 5/29,1,0,0,2016-17,Evgeni Malkin,Y
Thu 5/25,0,0,1,2016-17,Evgeni Malkin,Y
Tue 5/23,1,0,1,2016-17,Evgeni Malkin,Y
Sun 5/21,0,3,1,2016-17,Evgeni Malkin,Y
Fri 5/19,0,0,0,2016-17,Evgeni Malkin,Y
Wed 5/17,0,0,2,2016-17,Evgeni Malkin,Y
Mon 5/15,0,1,0,2016-17,Evgeni Malkin,Y
Sat 5/13,1,0,1,2016-17,Evgeni Malkin,Y
Wed 5/10,0,0,1,2016-17,Evgeni Malkin,Y
Mon 5/8,1,0,0,2016-17,Evgeni Malkin,Y
Sat 5/6,0,1,0,2016-17,Evgeni Malkin,Y
Wed 5/3,0,1,0,2016-17,Evgeni Malkin,Y
Mon 5/1,1,1,2,2016-17,Evgeni Malkin,Y
Sat 4/29,1,1,1,2016-17,Evgeni Malkin,Y
Thu 4/27,0,0,2,2016-17,Evgeni Malkin,Y
Thu 4/20,0,3,0,2016-17,Evgeni Malkin,Y
